#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
      63      104     1752        7     0.071940  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      2
      64      106     1224        6     0.124245  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      65      108     1776        6     0.124245  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      66      110     1800        6     0.124245  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      67      112        0        4     0.143063 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      68      113        0        5     0.143063 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      69      114        0        6     0.143769 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      70      115        0        7     0.143769 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      71      116       48        6     0.149833  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      72      117     1152        6     0.149833  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      73      118     1200        6     0.149833  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      74      119       48        7     0.176292  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      75      120     1152        7     0.176292  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      76      121     1200        7     0.176292  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      77      122     1224        7     0.180913  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      2
      78      124     1776        7     0.180913  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      2
      79      126     1800        7     0.180913  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      2
      80      128       48        8     0.306193  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      81      129     1152        8     0.306193  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      82      130     1200        8     0.306193  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      83      131       48        9     0.333490  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      84      132     1152        9     0.333490  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      85      133     1200        9     0.333490  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      86      134     1224        8     0.346305  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
      87      135     1776        8     0.346305  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
      88      136     1800        8     0.346305  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
      89      137     1224        9     0.369895  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
      90      138     1776        9     0.369895  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
      91      139     1800        9     0.369895  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
      92      140        0        8     0.390472 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
      93      141       72        8     0.457322  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
      94      142     1728        8     0.457322  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
      95      143     1752        8     0.457322  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
      96      144       48       10     0.510428  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
      97      145     1152       10     0.510428  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
      98      146     1200       10     0.510428  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
      99      147       72        9     0.510945  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     100      148     1728        9     0.510945  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     101      149     1752        9     0.510945  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     102      150       48       11     0.525017  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
     103      151     1152       11     0.525017  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
     104      152     1200       11     0.525017  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
     105      153       72       10     0.536492  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     106      154     1728       10     0.536492  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     107      155     1752       10     0.536492  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     108      156       72       11     0.539566  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     109      157     1728       11     0.539566  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     110      158     1752       11     0.539566  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     111      159       72       12     0.549955  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     112      160     1728       12     0.549955  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     113      161     1752       12     0.549955  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     114      162        0        9     0.559911 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     115      163        0       10     0.559911 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     116      164        0       11     0.561911 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     117      165        0       12     0.561911 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     118      166     1224       10     0.587940  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     119      167     1776       10     0.587940  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     120      168     1800       10     0.587940  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     121      169        0       13     0.626652 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     122      170       48       12     0.650967  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
     123      171     1152       12     0.650967  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
     124      172     1200       12     0.650967  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
     125      173       48       13     0.653777  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
     126      174     1152       13     0.653777  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
     127      175     1200       13     0.653777  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
     128      176       72       13     0.675744  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     129      177     1728       13     0.675744  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     130      178     1752       13     0.675744  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     131      179     1224       11     0.676902  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     132      180     1776       11     0.676902  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     133      181     1800       11     0.676902  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     134      182        0       14     0.678429 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     135      183     1224       12     0.682170  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     136      184     1776       12     0.682170  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     137      185     1800       12     0.682170  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     138      186        0       15     0.686671 -0.0000  0.0000  0.0000 -0.0000 -0.0000 -0.0000      1
     139      187     1224       13     0.691168  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     140      188     1776       13     0.691168  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     141      189     1800       13     0.691168  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     142      190     1224       14     0.723098  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     143      191     1776       14     0.723098  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     144      192     1800       14     0.723098  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     145      193     1224       15     0.730366  0.6755  0.7800  0.0000  0.5000  0.2500 -0.0000      1
     146      194     1776       15     0.730366  0.3377  0.9750  0.0000  0.2500  0.5000 -0.0000      1
     147      195     1800       15     0.730366  0.3377  0.5850  0.0000  0.2500  0.2500 -0.0000      1
     148      196       72       14     0.749963  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     149      197     1728       14     0.749963  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     150      198     1752       14     0.749963  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     151      199       72       15     0.751773  0.0000  0.3900  0.0000 -0.0000  0.2500 -0.0000      1
     152      200     1728       15     0.751773  0.3377  0.1950 -0.0000  0.2500 -0.0000 -0.0000      1
     153      201     1752       15     0.751773  0.3377 -0.1950 -0.0000  0.2500 -0.2500 -0.0000      1
     154      202       48       14     0.766661  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
     155      203     1152       14     0.766661  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
     156      204     1200       14     0.766661  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
     157      205       48       15     0.801348  0.0000  0.7800  0.0000 -0.0000  0.5000 -0.0000      1
     158      206     1152       15     0.801348  0.6755  0.3900 -0.0000  0.5000 -0.0000 -0.0000      1
     159      207     1200       15     0.801348  0.6755  1.1699  0.0000  0.5000  0.5000 -0.0000      1
