#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6439393418e+02    1.3279575311e+05   -6.3928161372e+02    2.7488767954e+02   -1.1507139426e+01   -2.7082543567e+02   -3.9802260993e+02    4.1073571307e+01    2.9207048000e+07    5.3604076030e+01    9.9118629536e-01
         1   -3.6467083572e+02    1.3299763549e+05   -6.3984222975e+02    2.7517139402e+02   -1.1676614206e+01   -2.7082543567e+02   -3.9840200467e+02    4.1061824796e+01    2.8915602000e+07    5.4230265515e+01    9.9116959416e-01
         2   -3.6478967106e+02    1.3308428057e+05   -6.4015517194e+02    2.7536550088e+02   -1.1785509043e+01   -2.7082543567e+02   -3.9865146170e+02    4.1107234477e+01    2.8322087000e+07    5.2840836973e+01    9.9116298983e-01
         3   -3.6485497128e+02    1.3313192157e+05   -6.4034770931e+02    2.7549273803e+02   -1.1853298057e+01   -2.7082543567e+02   -3.9882138416e+02    4.1152408577e+01    2.7840650000e+07    5.1565111982e+01    9.9116114912e-01
         4   -3.6489292187e+02    1.3315960312e+05   -6.4049687086e+02    2.7560394898e+02   -1.1895556719e+01   -2.7082543567e+02   -3.9893944906e+02    4.1163570598e+01    2.7448137000e+07    5.0610180060e+01    9.9115900332e-01
         5   -3.6491653447e+02    1.3317682171e+05   -6.4059756742e+02    2.7568103294e+02   -1.1907992267e+01   -2.7082543567e+02   -3.9904147349e+02    4.1177334011e+01    2.7116194000e+07    5.0176641999e+01    9.9115873457e-01
         6   -3.6493224880e+02    1.3318833211e+05   -6.4066476887e+02    2.7573252007e+02   -1.1919597266e+01   -2.7082543567e+02   -3.9911679281e+02    4.1197056870e+01    2.6843725000e+07    4.9991077304e+01    9.9115649686e-01
         7   -3.6494139054e+02    1.3319497804e+05   -6.4070660173e+02    2.7576521119e+02   -1.1926651124e+01   -2.7082543567e+02   -3.9915126579e+02    4.1196750859e+01    2.6622037000e+07    5.0950151584e+01    9.9115730457e-01
         8   -3.6494836852e+02    1.3320008317e+05   -6.4075641793e+02    2.7580804941e+02   -1.1922746719e+01   -2.7082543567e+02   -3.9921004030e+02    4.1201804762e+01    2.6445251000e+07    4.9985665665e+01    9.9115582253e-01
         9   -3.6495253705e+02    1.3320310665e+05   -6.4077746180e+02    2.7582492475e+02   -1.1916869308e+01   -2.7082543567e+02   -3.9923998602e+02    4.1204829201e+01    2.6289352000e+07    4.9668048371e+01    9.9115792479e-01
        10   -3.6495412968e+02    1.3320426314e+05   -6.4081915618e+02    2.7586502650e+02   -1.1920330841e+01   -2.7082543567e+02   -3.9928522409e+02    4.1211834417e+01    2.6281023000e+07    5.0343477137e+01    9.9115427717e-01
