#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
        11   -3.6495650135e+02    1.3320602126e+05   -6.4083680225e+02    2.7588030090e+02   -1.1917757350e+01   -2.7082543567e+02   -3.9930768549e+02    4.1214076260e+01    2.6241163000e+07    4.8610142178e+01    9.9115503591e-01
        12   -3.6495754593e+02    1.3320677925e+05   -6.4083709938e+02    2.7587955346e+02   -1.1916099395e+01   -2.7082543567e+02   -3.9930962119e+02    4.1214056872e+01    2.6173247000e+07    4.7568629130e+01    9.9115494021e-01
        13   -3.6496014987e+02    1.3320868058e+05   -6.4085756918e+02    2.7589741930e+02   -1.1916723426e+01   -2.7082543567e+02   -3.9931770843e+02    4.1202298352e+01    2.6110421000e+07    5.0105025421e+01    9.9115285965e-01
        14   -3.6495864735e+02    1.3320755144e+05   -6.4085517593e+02    2.7589652858e+02   -1.1907393338e+01   -2.7082543567e+02   -3.9934720076e+02    4.1224853842e+01    2.6043322000e+07    4.7514321151e+01    9.9115468941e-01
        15   -3.6496248696e+02    1.3321040297e+05   -6.4085746882e+02    2.7589498187e+02   -1.1900189958e+01   -2.7082543567e+02   -3.9936188761e+02    4.1230044412e+01    2.5989705000e+07    4.7718511043e+01    9.9115451014e-01
        16   -3.6496178165e+02    1.3320987215e+05   -6.4084809337e+02    2.7588631173e+02   -1.1902618540e+01   -2.7082543567e+02   -3.9934525709e+02    4.1225217930e+01    2.5943700000e+07    4.7302670856e+01    9.9115540212e-01
        17   -3.6495801259e+02    1.3320711474e+05   -6.4085057317e+02    2.7589256058e+02   -1.1900810062e+01   -2.7082543567e+02   -3.9934315649e+02    4.1218829049e+01    2.5882529000e+07    4.7396341436e+01    9.9115613444e-01
        18   -3.6495797517e+02    1.3320706480e+05   -6.4084903470e+02    2.7589105953e+02   -1.1897564367e+01   -2.7082543567e+02   -3.9935174257e+02    4.1225707901e+01    2.5821509000e+07    4.6431255579e+01    9.9115378396e-01
        19   -3.6495967945e+02    1.3320834192e+05   -6.4085662223e+02    2.7589694278e+02   -1.1903204006e+01   -2.7082543567e+02   -3.9935170525e+02    4.1223722696e+01    2.5790129000e+07    4.9202478774e+01    9.9115460560e-01
        20   -3.6495984660e+02    1.3320845941e+05   -6.4086515111e+02    2.7590530451e+02   -1.1906186543e+01   -2.7082543567e+02   -3.9935289225e+02    4.1219363358e+01    2.5772250000e+07    4.8415975188e+01    9.9115259522e-01
        21   -3.6496057203e+02    1.3320897866e+05   -6.4086740398e+02    2.7590683194e+02   -1.1910842483e+01   -2.7082543567e+02   -3.9935124012e+02    4.1220114290e+01    2.5761521000e+07    4.6439867323e+01    9.9115537679e-01
        22   -3.6496194382e+02    1.3320999096e+05   -6.4087171228e+02    2.7590976846e+02   -1.1906288133e+01   -2.7082543567e+02   -3.9936571920e+02    4.1225730731e+01    2.5742380000e+07    4.6557583806e+01    9.9115276783e-01
        23   -3.6496108342e+02    1.3320936289e+05   -6.4086908166e+02    2.7590799823e+02   -1.1904191705e+01   -2.7082543567e+02   -3.9935517079e+02    4.1215716511e+01    2.5723947000e+07    4.9749149659e+01    9.9115510568e-01
        24   -3.6496049494e+02    1.3320893239e+05   -6.4085445801e+02    2.7589396308e+02   -1.1908040927e+01   -2.7082543567e+02   -3.9934023737e+02    4.1219255958e+01    2.5712294000e+07    4.9859884795e+01    9.9115508080e-01
        25   -3.6495781094e+02    1.3320697802e+05   -6.4084613306e+02    2.7588832212e+02   -1.1913146860e+01   -2.7082543567e+02   -3.9932269413e+02    4.1215143600e+01    2.5693118000e+07    4.9433142253e+01    9.9115619667e-01
        26   -3.6496039103e+02    1.3320883800e+05   -6.4085039839e+02    2.7589000737e+02   -1.1916156502e+01   -2.7082543567e+02   -3.9933406765e+02    4.1225261426e+01    2.5669269000e+07    4.7102263332e+01    9.9115488978e-01
        27   -3.6496166616e+02    1.3320977114e+05   -6.4087039531e+02    2.7590872916e+02   -1.1909374536e+01   -2.7082543567e+02   -3.9936126379e+02    4.1225678685e+01    2.5668708000e+07    4.6874309604e+01    9.9115499454e-01
        28   -3.6496138814e+02    1.3320959549e+05   -6.4089371524e+02    2.7593232710e+02   -1.1908879906e+01   -2.7082543567e+02   -3.9938223674e+02    4.1222837078e+01    2.5679844000e+07    4.6981469912e+01    9.9115329127e-01
        29   -3.6495989929e+02    1.3320851304e+05   -6.4088642514e+02    2.7592652585e+02   -1.1911149666e+01   -2.7082543567e+02   -3.9937141452e+02    4.1221574720e+01    2.5682612000e+07    4.6691581751e+01    9.9115533458e-01
