                     0              0.478477                 -0.25              0.130686
                 0.064              0.462739             -0.241888              0.122815
                 0.128              0.447504              -0.23428              0.114944
                 0.192               0.43274             -0.227175              0.107074
                 0.256              0.418415             -0.220574              0.099203
                  0.32              0.404496             -0.214477             0.0913324
                 0.384              0.390951             -0.208884             0.0834617
                 0.448              0.377748             -0.203794             0.0755911
                 0.512              0.364855             -0.199208             0.0677205
                 0.576              0.352239             -0.195126             0.0598498
                  0.64              0.339873             -0.191283             0.0610705
                 0.704              0.327758             -0.187306             0.0632002
                 0.768              0.315901             -0.183193               0.06533
                 0.832              0.304312             -0.178944             0.0674598
                 0.896              0.292999             -0.174558             0.0695895
                  0.96              0.281971             -0.170036             0.0717193
                 1.024              0.271237             -0.165378              0.073849
                 1.088              0.260806             -0.160584             0.0759788
                 1.152              0.250685             -0.155653             0.0781086
                 1.216              0.240883             -0.150671             0.0769699
                  1.28              0.231397             -0.145805              0.075105
                 1.344              0.222218             -0.141058               0.07324
                 1.408              0.213339              -0.13643              0.071375
                 1.472              0.204752             -0.131922             0.0695101
                 1.536               0.19645             -0.127533             0.0676451
                   1.6              0.188425             -0.123263             0.0657801
                 1.664               0.18067             -0.119113             0.0639152
                 1.728              0.173176             -0.115082             0.0620502
                 1.792              0.165937             -0.111158             0.0607324
                 1.856              0.158947             -0.107307             0.0596196
                  1.92                0.1522             -0.103527             0.0585069
                 1.984              0.145694            -0.0998179             0.0573942
                 2.048              0.139422            -0.0961802             0.0562815
                 2.112              0.133381            -0.0926138             0.0551688
                 2.176              0.127566            -0.0891186             0.0540561
                  2.24              0.121972            -0.0856946             0.0529434
                 2.304              0.116596            -0.0823419             0.0518307
                 2.368              0.111431            -0.0790711             0.0501889
                 2.432              0.106472            -0.0759212             0.0482447
                 2.496               0.10171            -0.0728958             0.0463005
                  2.56             0.0971386            -0.0699947             0.0443564
                 2.624             0.0927485            -0.0672182             0.0424122
                 2.688              0.088532             -0.064566              0.040468
                 2.752             0.0844814            -0.0620383             0.0385238
                 2.816             0.0805885            -0.0596349             0.0365797
                  2.88             0.0768454            -0.0573561             0.0346355
                 2.944             0.0732444            -0.0551932             0.0331747
                 3.008             0.0697792            -0.0531038             0.0321167
                 3.072             0.0664456            -0.0510822             0.0310588
                 3.136             0.0632392            -0.0491283             0.0300008
                   3.2             0.0601558            -0.0472421             0.0289428
                 3.264             0.0571908            -0.0454236             0.0278849
                 3.328             0.0543401            -0.0436729             0.0268269
                 3.392             0.0515992            -0.0419898              0.025769
                 3.456             0.0489639            -0.0403744              0.024711
                  3.52             0.0464299            -0.0388241             0.0238338
                 3.584             0.0439935            -0.0373199             0.0231737
                 3.648              0.041652            -0.0358579             0.0225135
                 3.712             0.0394028            -0.0344382             0.0218533
                 3.776             0.0372431            -0.0330607             0.0211931
                  3.84             0.0351701            -0.0317255             0.0205329
                 3.904             0.0331813            -0.0304325             0.0198727
                 3.968             0.0312739            -0.0291818             0.0192125
                 4.032             0.0294451            -0.0279733             0.0185523
                 4.096             0.0276924            -0.0268064             0.0179463
                  4.16             0.0260132            -0.0256742              0.017435
                 4.224             0.0244054            -0.0245748             0.0169237
                 4.288             0.0228669             -0.023508             0.0164125
                 4.352             0.0213957             -0.022474             0.0159012
                 4.416             0.0199896            -0.0214726             0.0153899
                  4.48             0.0186465            -0.0205041             0.0148786
                 4.544             0.0173643            -0.0195682             0.0143673
                 4.608              0.016141             -0.018665             0.0138561
                 4.672             0.0149745            -0.0177955              0.013247
                 4.736             0.0138621            -0.0169755             0.0123772
                   4.8             0.0128005            -0.0162112             0.0115075
                 4.864             0.0117859            -0.0155025             0.0106377
                 4.928             0.0108149            -0.0148495            0.00976791
                 4.992            0.00988399            -0.0142522            0.00889814
                 5.056            0.00898947            -0.0137106            0.00802837
                  5.12            0.00812784            -0.0132246             0.0071586
                 5.184            0.00729554            -0.0127943            0.00628883
                 5.248              0.006489            -0.0124172              0.005839
                 5.312            0.00570724            -0.0119974            0.00727895
                 5.376            0.00495529            -0.0114855             0.0087189
                  5.44            0.00423906            -0.0108814             0.0101588
                 5.504            0.00356444            -0.0101852             0.0115988
                 5.568            0.00293733           -0.00939675             0.0130387
                 5.632            0.00236362            -0.0085162             0.0144787
                 5.696            0.00184922           -0.00754348             0.0159186
                  5.76            0.00140002           -0.00647861             0.0173586
                 5.824            0.00102192           -0.00532251             0.0184809
                 5.888           0.000717728           -0.00420544             0.0164275
                 5.952           0.000480822           -0.00321979             0.0143741
                 6.016           0.000302792           -0.00236556             0.0123206
                  6.08           0.000175227           -0.00164275             0.0102672
                 6.144            8.9716e-05           -0.00105136            0.00821375
                 6.208            3.7849e-05           -0.00059139            0.00616031
                 6.272           1.12145e-05           -0.00026284            0.00410687
                 6.336           1.40181e-06            -6.571e-05            0.00205344
